"control_number","species_code","genus","species","subspecies","specific_name","generic_name","description","quantity","unit","country_origin","country_imp_exp","purpose","source","action","disposition","disposition_date","shipment_date","import_export","port","sYear","lemisName","corrected","links","rank","group_","correctedGenus","orderCorrected","entryID","country_origin_name","country_imp_exp_name"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","22","NO","Ctry_PG","Ctry_PG","S","W","C","C","2015-07-13T00:00:00Z","2015-07-06T00:00:00Z","I","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0011592","Papua New Guinea","Papua New Guinea"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","86","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-07-16T00:00:00Z","2015-07-16T00:00:00Z","I","AT",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0016209","Solomon Islands","Solomon Islands"
0,"LML?","LAMPROLEPIS","SPECIES",NA,NA,"SKINK","SPE","3","NO","Ctry_TL","Ctry_TL","S","W","C","C","2015-07-22T00:00:00Z","2015-07-20T00:00:00Z","I","AT",2015,"Lamprolepis species","Lamprolepis","Catalogue of Life Checklist","Genus","Reptiles","Lamprolepis","Squamata","eID0022789","Timor-Leste","Timor-Leste"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","25","NO","Ctry_SB","Ctry_FR","T","W","C","C","2015-07-22T00:00:00Z","2015-07-22T00:00:00Z","E","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0023739","Solomon Islands","France"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","10","NO","Ctry_SB","Ctry_FR","T","W","C","C","2015-08-12T00:00:00Z","2015-08-12T00:00:00Z","E","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0050382","Solomon Islands","France"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","2","NO","Ctry_PW","Ctry_PW","S","W","C","C","2015-08-24T00:00:00Z","2015-08-17T00:00:00Z","I","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0064467","Palau","Palau"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","30","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-08-25T00:00:00Z","2015-08-25T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0065282","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","6","NO","Ctry_SB","Ctry_HU","T","W","C","C","2015-08-26T00:00:00Z","2015-08-26T00:00:00Z","E","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0067847","Solomon Islands","Hungary"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","2","NO","Ctry_SB","Ctry_FR","T","W","C","C","2015-09-03T00:00:00Z","2015-09-03T00:00:00Z","E","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0078181","Solomon Islands","France"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","22","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-09-08T00:00:00Z","2015-09-08T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0080540","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","50","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-09-08T00:00:00Z","2015-09-05T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0081727","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","5","NO","Ctry_US","Ctry_KR","T","F","C","C","2015-09-10T00:00:00Z","2015-09-10T00:00:00Z","E","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0085830","United States","Republic of Korea (South)"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","5","NO","Ctry_ID","Ctry_US","S","W","C","C","2015-09-11T00:00:00Z","2015-09-01T00:00:00Z","I","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0086603","Indonesia","United States"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","1","NO","Ctry_PW","Ctry_PW","S","W","C","C","2015-10-28T00:00:00Z","2015-10-23T00:00:00Z","I","HA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0146954","Palau","Palau"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","1","NO","Ctry_PW","Ctry_PW","S","W","C","C","2015-12-02T00:00:00Z","2015-12-01T00:00:00Z","I","HA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0191896","Palau","Palau"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","15","NO","Ctry_PW","Ctry_PW","S","W","C","C","2015-03-03T00:00:00Z","2015-03-03T00:00:00Z","I","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0312688","Palau","Palau"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","1","NO","Ctry_SB","Ctry_JP","T","W","C","C","2015-03-06T00:00:00Z","2015-03-05T00:00:00Z","E","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0316700","Solomon Islands","Japan"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","40","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-03-21T00:00:00Z","2015-03-21T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0336845","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","40","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-04-04T00:00:00Z","2015-04-04T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0355475","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","90","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-04-11T00:00:00Z","2015-04-11T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0364010","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","50","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-04-18T00:00:00Z","2015-04-18T00:00:00Z","I","LA",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0373150","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","100","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-05-15T00:00:00Z","2015-05-14T00:00:00Z","I","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0409866","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","16","NO","Ctry_SB","Ctry_FR","T","W","C","C","2015-05-28T00:00:00Z","2015-05-28T00:00:00Z","E","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0425658","Solomon Islands","France"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","5","NO","Ctry_PG","Ctry_PG","S","W","C","C","2015-06-11T00:00:00Z","2015-06-09T00:00:00Z","I","AN",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0443743","Papua New Guinea","Papua New Guinea"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","8","NO","Ctry_PW","Ctry_PW","S","W","C","C","2015-06-22T00:00:00Z","2015-06-19T00:00:00Z","I","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0457307","Palau","Palau"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","100","NO","Ctry_SB","Ctry_SB","T","W","C","C","2015-06-25T00:00:00Z","2015-06-25T00:00:00Z","I","MI",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0462686","Solomon Islands","Solomon Islands"
0,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","SPE","22","NO","Ctry_PG","Ctry_PG","S","W","C","C","2015-07-01T00:00:00Z","2015-06-23T00:00:00Z","I","SF",2015,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0470120","Papua New Guinea","Papua New Guinea"
2016844780,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","200","NO","Ctry_SB","Ctry_SB","T","W","C","C","2016-04-15T00:00:00Z","2016-04-15T00:00:00Z","I","LA",2016,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0591402","Solomon Islands","Solomon Islands"
2016884030,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","100","NO","Ctry_SB","Ctry_SB","T","W","C","C","2016-07-01T00:00:00Z","2016-07-01T00:00:00Z","I","LA",2016,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0718272","Solomon Islands","Solomon Islands"
2016963004,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","20","NO","Ctry_SB","Ctry_SB","T","W","C","C","2016-12-02T00:00:00Z","2016-12-02T00:00:00Z","I","LA",2016,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0779524","Solomon Islands","Solomon Islands"
2016893677,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","3","NO","Ctry_SB","Ctry_KR","T","W","C","C","2016-07-21T00:00:00Z","2016-07-21T00:00:00Z","E","MI",2016,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0838867","Solomon Islands","Republic of Korea (South)"
2016896442,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","3","NO","Ctry_SB","Ctry_KR","T","W","C","C","2016-07-27T00:00:00Z","2016-07-27T00:00:00Z","E","MI",2016,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0838891","Solomon Islands","Republic of Korea (South)"
2016922055,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","4","NO","Ctry_SB","Ctry_RU","T","W","C","C","2016-09-19T00:00:00Z","2016-09-13T00:00:00Z","E","MI",2016,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0839204","Solomon Islands","Russian Federation"
2019632924,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_Ex 4","T","Ex 4","C","C","2019-10-10T00:00:00Z",NA,"Ex 4","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0914314",NA,NA
2020686238,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_Ex 4","T","Ex 4","C","C","2020-01-09T00:00:00Z",NA,"Ex 4","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0917136",NA,NA
2016848554,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2016-04-22T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0935549",NA,"Solomon Islands"
2016855950,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2016-05-06T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0937169",NA,"Solomon Islands"
2016869455,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2016-06-03T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0939866",NA,"Solomon Islands"
2016873323,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2016-06-10T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0940683",NA,"Solomon Islands"
2016917712,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2016-09-09T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0950284",NA,"Solomon Islands"
2016947110,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2016-11-04T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID0956391",NA,"Solomon Islands"
2018439602,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2018-10-26T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID1046029",NA,"Solomon Islands"
2019515189,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2019-03-15T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID1063141",NA,"Solomon Islands"
2019534684,"LASM","LAMPROLEPIS","SMARAGDINA",NA,"EMERALD","SKINK","LIV","Ex 4","Ex 4","Ctry_Ex 4","Ctry_SB","T","W","C","C","2019-04-19T00:00:00Z",NA,"I","Ex 4",NA,"Lamprolepis smaragdina","Lamprolepis smaragdina","GBIF","Species","Reptiles","Lamprolepis","Squamata","eID1067722",NA,"Solomon Islands"
